,Attribute,Description,Meaning,Value,Type,Notes
0,AGER_TYP,best-ager typology,unknown,-1,Ordinal,
5,ALTERSKATEGORIE_GROB,age classification through prename analysis ,unknown,"-1, 0",Ordinal,
11,ALTER_HH,main age within the household,unknown / no main age detectable,0,Ordinal,
33,ANREDE_KZ,gender,unknown,"-1, 0",Binary,
36,ANZ_HAUSHALTE_AKTIV,number of households in the building,numeric value (typically coded from 1-10),0,Numeric,
37,ANZ_HH_TITEL,number of academic title holder in building,numeric value (typically coded from 1-10),,Numeric,
38,ANZ_PERSONEN,number of adult persons in the household,numeric value (typically coded from 1-3),0,Numeric,
39,ANZ_TITEL,number of professional title holder in household ,numeric value (typically coded from 1-10),,Numeric,
40,BALLRAUM,distance to next urban centre ,unknown,-1,Ordinal,
51,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,unknown,-1,Categorical,
131,CJT_GESAMTTYP,customer journey typology,unknown,0,Categorical,
138,D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,no transactions known,,Ordinal,
145,D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,no transactions known,,Ordinal,
161,D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,no transactions known,,Ordinal,
195,D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,no transactions known,,Ordinal,
205,D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,no transactions known,,Ordinal,
305,D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,no transactions known,,Ordinal,
312,D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,no transactions known,,Ordinal,
328,D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,no transactions known,,Ordinal,
338,D19_GESAMT_OFFLINE_DATUM,actuality of the last transaction with the complete file OFFLINE,no transactions known,,Ordinal,
348,D19_GESAMT_ONLINE_DATUM,actuality of the last transaction with the complete file ONLINE,no transactions known,,Ordinal,
478,D19_TELKO_ANZ_12,transaction activity TELCO in the last 12 months,no transactions known,,Ordinal,
485,D19_TELKO_ANZ_24,transaction activity TELCO in the last 24 months,no transactions known,,Ordinal,
501,D19_TELKO_DATUM,actuality of the last transaction for the segment telecommunication TOTAL,no transactions known,,Ordinal,
519,D19_TELKO_OFFLINE_DATUM,actuality of the last transaction for the segment telecommunication OFFLINE,no transactions known,,Ordinal,
529,D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,no transactions known,,Ordinal,
546,D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,no transactions known,,Ordinal,
553,D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,no transactions known,,Ordinal,
569,D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,no transactions known,,Ordinal,
579,D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,no transactions known,,Ordinal,
589,D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,no transactions known,,Ordinal,
617,D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,no transactions known,,Ordinal,
624,D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,no transactions known,,Ordinal,
647,EWDICHTE,density of inhabitants per square kilometer,unknown,-1,Ordinal,
654,FINANZTYP,best descirbing financial type for the person,unknown,-1,Categorical,
661,FINANZ_ANLEGER,financial typology: investor,unknown,-1,Ordinal,
667,FINANZ_HAUSBAUER,financial typology: main focus is the own house,unknown,-1,Ordinal,
673,FINANZ_MINIMALIST,financial typology: low financial interest,unknown,-1,Ordinal,
679,FINANZ_SPARER,financial typology: money saver,unknown,-1,Ordinal,
685,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,unknown,-1,Ordinal,
691,FINANZ_VORSORGER,financial typology: be prepared,unknown,-1,Ordinal,
697,GEBAEUDETYP,type of building (residential or commercial),unknown,"-1, 0",Categorical,
744,HEALTH_TYP,health typology,unknown,-1,Ordinal,
749,HH_EINKOMMEN_SCORE,estimated household net income ,unknown,"-1, 0",Ordinal,
756,INNENSTADT,distance to the city centre,unknown,-1,Ordinal,
765,KBA05_ALTER1,share of car owners less than 31 years old,unknown,"-1, 9",Ordinal,
771,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,unknown,"-1, 9",Ordinal,
777,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,unknown,"-1, 9",Ordinal,
783,KBA05_ALTER4,share of cars owners elder than 61 years,unknown,"-1, 9",Ordinal,
